START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/05/18,12:35 PM,03:35 PM,Rangers at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",04/05/18,04/05/18,03:35 PM,06:35 PM,FALSE,TRUE,04/05/18,11:35 AM,02:35 PM,FREE,BUSY
04/06/18,07:07 PM,10:07 PM,Athletics at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",04/06/18,04/07/18,10:07 PM,01:07 AM,FALSE,TRUE,04/06/18,06:07 PM,09:07 PM,FREE,BUSY
04/07/18,06:07 PM,09:07 PM,Athletics at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",04/07/18,04/08/18,09:07 PM,12:07 AM,FALSE,TRUE,04/07/18,05:07 PM,08:07 PM,FREE,BUSY
04/08/18,01:07 PM,04:07 PM,Athletics at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",04/08/18,04/08/18,04:07 PM,07:07 PM,FALSE,TRUE,04/08/18,12:07 PM,03:07 PM,FREE,BUSY
04/10/18,07:10 PM,10:10 PM,Athletics at Dodgers,Dodger Stadium - Los Angeles,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",04/10/18,04/11/18,10:10 PM,01:10 AM,FALSE,TRUE,04/10/18,06:10 PM,09:10 PM,FREE,BUSY
04/11/18,07:10 PM,10:10 PM,Athletics at Dodgers,Dodger Stadium - Los Angeles,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",04/11/18,04/12/18,10:10 PM,01:10 AM,FALSE,TRUE,04/11/18,06:10 PM,09:10 PM,FREE,BUSY
04/13/18,07:10 PM,10:10 PM,Athletics at Mariners,Safeco Field - Seattle,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",04/13/18,04/14/18,10:10 PM,01:10 AM,FALSE,TRUE,04/13/18,06:10 PM,09:10 PM,FREE,BUSY
04/14/18,06:10 PM,09:10 PM,Athletics at Mariners,Safeco Field - Seattle,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",04/14/18,04/15/18,09:10 PM,12:10 AM,FALSE,TRUE,04/14/18,05:10 PM,08:10 PM,FREE,BUSY
04/15/18,01:10 PM,04:10 PM,Athletics at Mariners,Safeco Field - Seattle,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",04/15/18,04/15/18,04:10 PM,07:10 PM,FALSE,TRUE,04/15/18,12:10 PM,03:10 PM,FREE,BUSY
04/16/18,07:05 PM,10:05 PM,White Sox at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",04/16/18,04/17/18,10:05 PM,01:05 AM,FALSE,TRUE,04/16/18,06:05 PM,09:05 PM,FREE,BUSY
