home.team,name,name,dist1
Indians,Progressive Field,Citi Field,477
Indians,Progressive Field,Yankee Stadium,468
Indians,Progressive Field,Oakland Coliseum,2460
Indians,Progressive Field,Citizens Bank Park,436
Indians,Progressive Field,PNC Park,134
Indians,Progressive Field,Petco Park,2410
Indians,Progressive Field,ATT Park,2458
Indians,Progressive Field,Safeco Field,2451
Indians,Progressive Field,Busch Stadium,558
Indians,Progressive Field,Tropicana Field,1115
Indians,Progressive Field,Globe Life Park in Arlington,1197
Indians,Progressive Field,Rogers Centre,287
Rockies,Coors Field,Angel Stadium of Anaheim,1015
Rockies,Coors Field,Chase Field,826
Rockies,Coors Field,SunTrust Park,1392
Rockies,Coors Field,Oriole Park at Camden Yards,1670
Rockies,Coors Field,Fenway Park,1978
Rockies,Coors Field,Wrigley Field,1006
Rockies,Coors Field,Guaranteed Rate Field,1005
Rockies,Coors Field,Great American Ball Park,1193
Rockies,Coors Field,Progressive Field,1332
Rockies,Coors Field,Comerica Park,1268
Rockies,Coors Field,Marlins Park,2064
Rockies,Coors Field,Minute Maid Park,1120
Rockies,Coors Field,Kauffman Stadium,609
Rockies,Coors Field,Dodger Stadium,1020
Rockies,Coors Field,Miller Park,1040
Rockies,Coors Field,Target Field,913
Rockies,Coors Field,Nationals Park,1657
Rockies,Coors Field,Citi Field,1791
Rockies,Coors Field,Yankee Stadium,1783
Rockies,Coors Field,Oakland Coliseum,1265
Rockies,Coors Field,Citizens Bank Park,1732
Rockies,Coors Field,PNC Park,1444
Rockies,Coors Field,Petco Park,1080
Rockies,Coors Field,ATT Park,1263
Rockies,Coors Field,Safeco Field,1331
Rockies,Coors Field,Busch Stadium,850
Rockies,Coors Field,Tropicana Field,1880
Rockies,Coors Field,Globe Life Park in Arlington,881
Rockies,Coors Field,Rogers Centre,1498
Tigers,Comerica Park,Angel Stadium of Anaheim,2276
Tigers,Comerica Park,Chase Field,2033
Tigers,Comerica Park,SunTrust Park,711
Tigers,Comerica Park,Oriole Park at Camden Yards,526
Tigers,Comerica Park,Fenway Park,705
Tigers,Comerica Park,Wrigley Field,288
Tigers,Comerica Park,Guaranteed Rate Field,279
Tigers,Comerica Park,Great American Ball Park,263
Tigers,Comerica Park,Progressive Field,168
Tigers,Comerica Park,Coors Field,1268
Tigers,Comerica Park,Marlins Park,1395
Tigers,Comerica Park,Minute Maid Park,1313
Tigers,Comerica Park,Kauffman Stadium,757
Tigers,Comerica Park,Dodger Stadium,2285
Tigers,Comerica Park,Miller Park,384
Tigers,Comerica Park,Target Field,695
Tigers,Comerica Park,Nationals Park,524
Tigers,Comerica Park,Citi Field,628
Tigers,Comerica Park,Yankee Stadium,619
Tigers,Comerica Park,Oakland Coliseum,2396
Tigers,Comerica Park,Citizens Bank Park,588
Tigers,Comerica Park,PNC Park,285
Tigers,Comerica Park,Petco Park,2345
Tigers,Comerica Park,ATT Park,2394
Tigers,Comerica Park,Safeco Field,2387
Tigers,Comerica Park,Busch Stadium,524
Tigers,Comerica Park,Tropicana Field,1198
